instance,lb,ub,time
queen9_9,10,10,98
queen10_10,10,11,34951
queen11_11,11,11,28946
DSJC125.5,16,17,19033
DSJC125.9,43,44,44
DSJC250.5,26,31,
DSJC250.9,71,72,
DSJC500.9,123,136,
DSJR500.1c,85,85,0.8
DSJR500.5,122,125,
flat300_20_0,20,20,683
flat300_26_0,26,26,289
flat300_28_0,28,34,
r1000.1,20,20,1.0
r1000.5,234,261,
r1000.1c,96,98,
r250.5,65,65,9
