instance,lb,ub,time
1-FullIns_3,4.0,4.0,0.0
1-FullIns_4,5.0,5.0,0.0
1-FullIns_5,6.0,6.0,0.9
1-Insertions_4,5.0,5.0,33.3
1-Insertions_5,4.0,6.0,
1-Insertions_6,4.0,7.0,
2-FullIns_3,5.0,5.0,0.0
2-FullIns_4,6.0,6.0,0.0
2-FullIns_5,7.0,7.0,1.5
2-Insertions_3,4.0,4.0,0.1
2-Insertions_4,4.0,5.0,
2-Insertions_5,4.0,6.0,
3-FullIns_3,6.0,6.0,0.0
3-FullIns_4,7.0,7.0,0.0
3-FullIns_5,8.0,8.0,3.0
3-Insertions_3,4.0,4.0,0.7
3-Insertions_4,4.0,5.0,
3-Insertions_5,3.0,6.0,
4-FullIns_3,7.0,7.0,0.0
4-FullIns_4,8.0,8.0,0.0
4-FullIns_5,9.0,9.0,9.6
4-Insertions_3,4.0,4.0,10.0
4-Insertions_4,3.0,5.0,
5-FullIns_3,8.0,8.0,0.0
5-FullIns_4,9.0,9.0,0.1
abb313GPIA,9.0,9.0,9784.9
anna,11,11,0
ash331GPIA,4.0,4.0,154.2
ash608GPIA,4.0,4.0,282.9
ash958GPIA,4.0,4.0,813.1
david,11,11,0
DSJC1000.1,6.0,29.0,
DSJC125.1,5.0,5.0,4.0
DSJC125.5,13.0,20.0,
DSJC125.9,40.0,44.0,
DSJC250.1,5.0,9.0,
DSJC250.5,14.0,41.0,
DSJC250.9,41.0,,
DSJC500.1,6.0,18.0,
DSJC500.5,14.0,,
DSJR500.1,12.0,12.0,0.7
DSJR500.5,120.0,,
flat300_20_0,12.0,,
flat300_26_0,13.0,,
flat300_28_0,13.0,,
fpsol2.i.1,65,65,0
fpsol2.i.2,30,30,0
fpsol2.i.3,30,30,0
games120,9,9,0
homer,13,13,0
huck,11,11,0
inithx.i.1,54,54,0
inithx.i.2,31,31,0
inithx.i.3,31,31,0
jean,10,10,0
le450_15a,15.0,15.0,1032.0
le450_15b,15.0,15.0,1384.6
le450_15c,15.0,,
le450_15d,15.0,,
le450_25a,25,25,0
le450_25b,25,25,0
le450_25c,25.0,27.0,
le450_25d,25.0,27.0,
le450_5a,5.0,5.0,103.9
le450_5b,5.0,5.0,89.5
le450_5c,5.0,5.0,24.3
le450_5d,5.0,5.0,24.6
miles1000,42.0,42.0,1.2
miles1500,73,73,0
miles250,8,8,0
miles500,20,20,0
miles750,31.0,31.0,0.6
mug100_1,4.0,4.0,0.1
mug100_25,4.0,4.0,0.2
mug88_1,4.0,4.0,0.1
mug88_25,4.0,4.0,0.1
mulsol.i.1,49,49,0
mulsol.i.2,31,31,0
mulsol.i.3,31,31,0
mulsol.i.4,31,31,0
mulsol.i.5,31,31,0
myciel3,4.0,4.0,0.0
myciel4,5.0,5.0,0.1
myciel5,6.0,6.0,2.5
myciel6,7.0,7.0,2286.0
myciel7,5.0,8.0,
qg.order30,30.0,30.0,70.1
qg.order40,40.0,40.0,4318.9
queen10_10,10.0,11.0,
queen11_11,11.0,13.0,
queen12_12,12.0,14.0,
queen13_13,13.0,15.0,
queen14_14,14.0,17.0,
queen15_15,15.0,18.0,
queen16_16,16.0,19.0,
queen5_5,5.0,5.0,0.0
queen6_6,7.0,7.0,0.2
queen7_7,7.0,7.0,0.3
queen8_12,12.0,12.0,1.9
queen8_8,9.0,9.0,14.2
queen9_9,10.0,10.0,1369.9
r1000.1,20.0,20.0,19.5
r125.1c,46,46,0
r125.1,5,5,0
r125.5,36.0,36.0,3.2
r250.1c,64,64,0
r250.1,8,8,0
r250.5,65.0,65.0,17.7
school1,14.0,14.0,39.6
school1_nsh,14.0,14.0,36.1
wap05a,50,50,0
wap06a,40.0,,
will199GPIA,7.0,7.0,2.5
zeroin.i.1,49,49,0
zeroin.i.2,30,30,0
zeroin.i.3,30,30,0
