instance,lb,ub,time
wap01a,41,41,736.01
wap02a,40,40,382.85
wap03a,40,43,15865.50
wap04a,40,41,65609.40
wap05a,50,50,1.59
wap06a,40,40,26.44
wap07a,40,41,632.63
wap08a,40,40,6742.98
