Instance,$n$,$m$,$d$,ZykovColor,gc-cdcl,POP-S,Assignment,CliColCom,exactcolors,Dsatur
wap03a,4730,286722,0.03,,,,,,,
wap04a,5231,294902,0.02,,,,,,,
wap05a,905,43081,0.11,0.1,5.6,61.2,0.1,0.7,5.2,0.9
wap06a,947,43571,0.10,413.0,,114.0,575.5,31.6,,
wap07a,1809,103368,0.06,,,,,,,
wap08a,1870,104176,0.06,,,504.9,2345,,,
will199GPIA,701,6772,0.03,0.3,1.2,3.2,0.9,0.2,1.5,0.3
zeroin.i.1,211,4100,0.19,0.1,0.9,5.5,0.1,0.1,0.1,0.1
zeroin.i.2,211,3541,0.16,0.1,0.4,4.3,0.1,0.1,0.1,0.1
zeroin.i.3,206,3540,0.17,0.1,0.4,4.5,0.1,0.1,0.1,0.1
